Scenario,AutoHMA Success (%),DACA-HMAS Success (%),Success Comparison,AutoHMA Steps,DACA-HMAS Coordination Steps (Equiv),DACA-HMAS Physical Ticks,Steps Comparison,AutoHMA API Calls,DACA-HMAS Cloud API Calls,DACA-HMAS Total API Calls,API Calls Comparison,AutoHMA Tokens,DACA-HMAS Total Tokens,Tokens Comparison,AutoHMA Memory (MB),DACA-HMAS Memory (MB),Memory Comparison,AutoHMA Computation (s),DACA-HMAS Computation (s),Computation Comparison
Logistics,85.73,81.67,Direct (1:1),5.11,18.0,179.4,Definition Differs (Cloud Calls vs Gym Ticks),4.23,18.0,59.7,Methodology Differs (Cloud-only isolated for 1:1),152.87,11199.2,Comparable (Includes Cloud + Edge Tokens),50.0,"12,288 (Colab Limit)",Not Comparable (Colab Limit vs Classical RAM),8.5,2.09,Direct (1:1 Wall-Clock Latency)
Inspection,85.67,86.25,Direct (1:1),3.84,46.6,188.3,Definition Differs (Cloud Calls vs Gym Ticks),4.85,46.6,113.4,Methodology Differs (Cloud-only isolated for 1:1),97.1,32063.4,Comparable (Includes Cloud + Edge Tokens),40.0,"12,288 (Colab Limit)",Not Comparable (Colab Limit vs Classical RAM),7.8,4.04,Direct (1:1 Wall-Clock Latency)
Search & Rescue,82.03,86.5,Direct (1:1),4.3,5.0,183.5,Definition Differs (Cloud Calls vs Gym Ticks),3.41,5.0,57.1,Methodology Differs (Cloud-only isolated for 1:1),166.69,15445.6,Comparable (Includes Cloud + Edge Tokens),55.0,"12,288 (Colab Limit)",Not Comparable (Colab Limit vs Classical RAM),9.2,6.99,Direct (1:1 Wall-Clock Latency)
